Status,From,To,Assignment Name,Value,Enabled,Entity,Comment,Tag
Ok,,D[7],Location,PIN_1,Yes,,,
Ok,,A[1],Location,PIN_2,Yes,,,
Ok,,TDI,Location,PIN_4,Yes,,,
Ok,,AY_CLK,Location,PIN_5,Yes,,,
Ok,,TAPE_IN,Location,PIN_6,Yes,,,
Ok,,AY_BDIR,Location,PIN_7,Yes,,,
Ok,,TAPE_OUT,Location,PIN_8,Yes,,,
Ok,,AY_BC1,Location,PIN_9,Yes,,,
Ok,,D[4],Location,PIN_10,Yes,,,
Ok,,D[3],Location,PIN_12,Yes,,,
Ok,,D[2],Location,PIN_13,Yes,,,
Ok,,D[1],Location,PIN_14,Yes,,,
Ok,,TMS,Location,PIN_15,Yes,,,
Ok,,D[0],Location,PIN_16,Yes,,,
Ok,,KB[3],Location,PIN_17,Yes,,,
Ok,,KB[2],Location,PIN_19,Yes,,,
Ok,,SPEAKER,Location,PIN_20,Yes,,,
Ok,,KB[1],Location,PIN_21,Yes,,,
Ok,,KB[4],Location,PIN_22,Yes,,,
Ok,,KB[0],Location,PIN_23,Yes,,,
Ok,,BUS_N_ROMCS,Location,PIN_24,Yes,,,
Ok,,N_M1,Location,PIN_25,Yes,,,
Ok,,N_IORQ,Location,PIN_27,Yes,,,
Ok,,N_RESET,Location,PIN_28,Yes,,,
Ok,,N_MREQ,Location,PIN_29,Yes,,,
Ok,,N_WR,Location,PIN_30,Yes,,,
Ok,,BUS_N_IORQGE,Location,PIN_31,Yes,,,
Ok,,N_RD,Location,PIN_32,Yes,,,
Ok,,N_INT,Location,PIN_33,Yes,,,
Ok,,A14,Location,PIN_35,Yes,,,
Ok,,A15,Location,PIN_36,Yes,,,
Ok,,CLK_CPU,Location,PIN_37,Yes,,,
Ok,,D[5],Location,PIN_40,Yes,,,
Ok,,MD[3],Location,PIN_41,Yes,,,
Ok,,ROM_A14,Location,PIN_42,Yes,,,
Ok,,N_ROM_CS,Location,PIN_44,Yes,,,
Ok,,MD[4],Location,PIN_45,Yes,,,
Ok,,WR_BUF,Location,PIN_46,Yes,,,
Ok,,MD[5],Location,PIN_47,Yes,,,
Ok,,N_WR_BUF_EN,Location,PIN_48,Yes,,,
Ok,,MD[6],Location,PIN_49,Yes,,,
Ok,,N_RD_BUF_EN,Location,PIN_50,Yes,,,
Ok,,MD[7],Location,PIN_52,Yes,,,
Ok,,MD[2],Location,PIN_53,Yes,,,
Ok,,MA[10],Location,PIN_54,Yes,,,
Ok,,MD[1],Location,PIN_55,Yes,,,
Ok,,N_MRD,Location,PIN_56,Yes,,,
Ok,,MD[0],Location,PIN_57,Yes,,,
Ok,,MA[11],Location,PIN_58,Yes,,,
Ok,,MA[9],Location,PIN_60,Yes,,,
Ok,,MA[0],Location,PIN_61,Yes,,,
Ok,,TCK,Location,PIN_62,Yes,,,
Ok,,MA[1],Location,PIN_63,Yes,,,
Ok,,MA[8],Location,PIN_64,Yes,,,
Ok,,MA[2],Location,PIN_65,Yes,,,
Ok,,MA[3],Location,PIN_67,Yes,,,
Ok,,MA[6],Location,PIN_68,Yes,,,
Ok,,MA[4],Location,PIN_69,Yes,,,
Ok,,MA[7],Location,PIN_70,Yes,,,
Ok,,MA[5],Location,PIN_71,Yes,,,
Ok,,MA[12],Location,PIN_72,Yes,,,
Ok,,TDO,Location,PIN_73,Yes,,,
Ok,,RAM_A14,Location,PIN_75,Yes,,,
Ok,,RAM_A16,Location,PIN_76,Yes,,,
Ok,,N_MWR,Location,PIN_77,Yes,,,
Ok,,MA[13],Location,PIN_78,Yes,,,
Ok,,N_A_GATE_EN,Location,PIN_79,Yes,,,
Ok,,RAM_A15,Location,PIN_80,Yes,,,
Ok,,VIDEO_R,Location,PIN_81,Yes,,,
Ok,,VIDEO_G,Location,PIN_83,Yes,,,
Ok,,A[0],Location,PIN_84,Yes,,,
Ok,,VIDEO_B,Location,PIN_85,Yes,,,
Ok,,CLK14,Location,PIN_87,Yes,,,
Ok,,A[7],Location,PIN_88,Yes,,,
Ok,,A[6],Location,PIN_89,Yes,,,
Ok,,A[5],Location,PIN_90,Yes,,,
Ok,,VIDEO_I,Location,PIN_92,Yes,,,
Ok,,A[2],Location,PIN_93,Yes,,,
Ok,,VIDEO_HSYNC,Location,PIN_94,Yes,,,
Ok,,VIDEO_VSYNC,Location,PIN_96,Yes,,,
Ok,,A[3],Location,PIN_97,Yes,,,
Ok,,VIDEO_SYNC,Location,PIN_98,Yes,,,
Ok,,A[4],Location,PIN_99,Yes,,,
Ok,,D[6],Location,PIN_100,Yes,,,
