Karabas-128 BOM:

Part     Value               Device                                    Package                            Library                                               Sheet

B1       BRIDGE              RB1A                                      RB1A                               rectifier                                             4
C1       100p                C2.5/2                                    C2.5-2                             capacitor-wima                                        1
C2       100n                C2.5/2                                    C2.5-2                             capacitor-wima                                        1
C3       100n                C-EUC0805                                 C0805                              rcl                                                   1
C4       100n                C2.5/2                                    C2.5-2                             capacitor-wima                                        1
C5       100n                C2.5/2                                    C2.5-2                             capacitor-wima                                        1
C6       100n                C2.5/2                                    C2.5-2                             capacitor-wima                                        1
C7       100n                C2.5/2                                    C2.5-2                             capacitor-wima                                        1
C8       100n                C2.5/2                                    C2.5-2                             capacitor-wima                                        1
C9       100n                C2.5/2                                    C2.5-2                             capacitor-wima                                        1
C10      100n                C2.5/2                                    C2.5-2                             capacitor-wima                                        1
C11      100n                C2.5/2                                    C2.5-2                             capacitor-wima                                        1
C12      100n                C2.5/2                                    C2.5-2                             capacitor-wima                                        1
C13      100n                C-EU025-025X050                           C025-025X050                       rcl                                                   4
C14      100n                C-EU025-025X050                           C025-025X050                       rcl                                                   4
C15      100n                C-EU025-025X050                           C025-025X050                       rcl                                                   4
C16      3n3                 C-EU025-025X050                           C025-025X050                       rcl                                                   4
C17      10p                 C-EU025-025X050                           C025-025X050                       rcl                                                   4
C18      100n                C-EU025-025X050                           C025-025X050                       rcl                                                   4
C19      220u                CPOL-EUE2.5-6                             E2,5-6                             rcl                                                   4
C20      10p                 C-EU025-025X050                           C025-025X050                       rcl                                                   4
C21      22p                 C2.5/2                                    C2.5-2                             capacitor-wima                                        1
C22      10u                 CPOL-EUE2.5-6                             E2,5-6                             rcl                                                   1
C23      100n                C2.5/2                                    C2.5-2                             capacitor-wima                                        3
C24      1n                  C2.5/2                                    C2.5-2                             capacitor-wima                                        3
C25      1n                  C2.5/2                                    C2.5-2                             capacitor-wima                                        3
C26      100n                C2.5/2                                    C2.5-2                             capacitor-wima                                        3
C27      100n                C2.5/2                                    C2.5-2                             capacitor-wima                                        3
C28      3n3                 C2.5/2                                    C2.5-2                             capacitor-wima                                        3
C29      10u                 CPOL-EUE2.5-6                             E2,5-6                             rcl                                                   3
C30      10u                 CPOL-EUE2.5-6                             E2,5-6                             rcl                                                   3
C31      100n                C2.5/2                                    C2.5-2                             capacitor-wima                                        3
C32      100n                C2.5/2                                    C2.5-2                             capacitor-wima                                        3
C33      100n                C-EU025-025X050                           C025-025X050                       rcl                                                   4
C34      680u                CPOL-EUE3.5-10                            E3,5-10                            rcl                                                   4
C35      100n                C-EU025-025X050                           C025-025X050                       rcl                                                   4
C36      220u                CPOL-EUE3.5-10                            E3,5-10                            rcl                                                   4
C37      100n                C-EUC0805                                 C0805                              rcl                                                   2
